Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ocupación;Sexo;Periodo;Total
Total Nacional;02 Aragón;44 Teruel;22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria;Hombres;2022;693
Total Nacional;02 Aragón;44 Teruel;22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria;Hombres;2021;673
Total Nacional;02 Aragón;44 Teruel;22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria;Mujeres;2022;1.652
Total Nacional;02 Aragón;44 Teruel;22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria;Mujeres;2021;1.613
Total Nacional;02 Aragón;44 Teruel;23 Otros profesionales de la enseñanza;Total;2022;736
Total Nacional;02 Aragón;44 Teruel;23 Otros profesionales de la enseñanza;Total;2021;757
Total Nacional;02 Aragón;44 Teruel;23 Otros profesionales de la enseñanza;Hombres;2022;265
Total Nacional;02 Aragón;44 Teruel;23 Otros profesionales de la enseñanza;Hombres;2021;270
Total Nacional;02 Aragón;44 Teruel;23 Otros profesionales de la enseñanza;Mujeres;2022;471
Total Nacional;02 Aragón;44 Teruel;23 Otros profesionales de la enseñanza;Mujeres;2021;487
Total Nacional;02 Aragón;44 Teruel;24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías;Total;2022;895
Total Nacional;02 Aragón;44 Teruel;24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías;Total;2021;946
Total Nacional;02 Aragón;44 Teruel;24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías;Hombres;2022;632
Total Nacional;02 Aragón;44 Teruel;24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías;Hombres;2021;663
Total Nacional;02 Aragón;44 Teruel;24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías;Mujeres;2022;263
Total Nacional;02 Aragón;44 Teruel;24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías;Mujeres;2021;283
Total Nacional;02 Aragón;44 Teruel;25 Profesionales en derecho;Total;2022;314
Total Nacional;02 Aragón;44 Teruel;25 Profesionales en derecho;Total;2021;306
Total Nacional;02 Aragón;44 Teruel;25 Profesionales en derecho;Hombres;2022;133
Total Nacional;02 Aragón;44 Teruel;25 Profesionales en derecho;Hombres;2021;139
Total Nacional;02 Aragón;44 Teruel;25 Profesionales en derecho;Mujeres;2022;181
Total Nacional;02 Aragón;44 Teruel;25 Profesionales en derecho;Mujeres;2021;167
Total Nacional;02 Aragón;44 Teruel;26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización;Total;2022;877
Total Nacional;02 Aragón;44 Teruel;26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización;Total;2021;715
Total Nacional;02 Aragón;44 Teruel;26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización;Hombres;2022;385
Total Nacional;02 Aragón;44 Teruel;26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización;Hombres;2021;291
Total Nacional;02 Aragón;44 Teruel;26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización;Mujeres;2022;492
Total Nacional;02 Aragón;44 Teruel;26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización;Mujeres;2021;424
Total Nacional;02 Aragón;44 Teruel;27 Profesionales de las tecnologías de la información;Total;2022;175
Total Nacional;02 Aragón;44 Teruel;27 Profesionales de las tecnologías de la información;Total;2021;165
Total Nacional;02 Aragón;44 Teruel;27 Profesionales de las tecnologías de la información;Hombres;2022;133
Total Nacional;02 Aragón;44 Teruel;27 Profesionales de las tecnologías de la información;Hombres;2021;120
Total Nacional;02 Aragón;44 Teruel;27 Profesionales de las tecnologías de la información;Mujeres;2022;42
Total Nacional;02 Aragón;44 Teruel;27 Profesionales de las tecnologías de la información;Mujeres;2021;45
Total Nacional;02 Aragón;44 Teruel;28 Profesionales en ciencias sociales;Total;2022;707
Total Nacional;02 Aragón;44 Teruel;28 Profesionales en ciencias sociales;Total;2021;509
Total Nacional;02 Aragón;44 Teruel;28 Profesionales en ciencias sociales;Hombres;2022;197
Total Nacional;02 Aragón;44 Teruel;28 Profesionales en ciencias sociales;Hombres;2021;113
Total Nacional;02 Aragón;44 Teruel;28 Profesionales en ciencias sociales;Mujeres;2022;510
Total Nacional;02 Aragón;44 Teruel;28 Profesionales en ciencias sociales;Mujeres;2021;396
Total Nacional;02 Aragón;44 Teruel;29 Profesionales de la cultura y el espectáculo;Total;2022;362
Total Nacional;02 Aragón;44 Teruel;29 Profesionales de la cultura y el espectáculo;Total;2021;450
Total Nacional;02 Aragón;44 Teruel;29 Profesionales de la cultura y el espectáculo;Hombres;2022;195
Total Nacional;02 Aragón;44 Teruel;29 Profesionales de la cultura y el espectáculo;Hombres;2021;239
Total Nacional;02 Aragón;44 Teruel;29 Profesionales de la cultura y el espectáculo;Mujeres;2022;167
Total Nacional;02 Aragón;44 Teruel;29 Profesionales de la cultura y el espectáculo;Mujeres;2021;211
Total Nacional;02 Aragón;44 Teruel;31 Técnicos de las ciencias y de las ingenierías;Total;2022;882
Total Nacional;02 Aragón;44 Teruel;31 Técnicos de las ciencias y de las ingenierías;Total;2021;883
Total Nacional;02 Aragón;44 Teruel;31 Técnicos de las ciencias y de las ingenierías;Hombres;2022;683
Total Nacional;02 Aragón;44 Teruel;31 Técnicos de las ciencias y de las ingenierías;Hombres;2021;680
Total Nacional;02 Aragón;44 Teruel;31 Técnicos de las ciencias y de las ingenierías;Mujeres;2022;199
Total Nacional;02 Aragón;44 Teruel;31 Técnicos de las ciencias y de las ingenierías;Mujeres;2021;203
Total Nacional;02 Aragón;44 Teruel;32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción;Total;2022;279
Total Nacional;02 Aragón;44 Teruel;32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción;Total;2021;241
Total Nacional;02 Aragón;44 Teruel;32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción;Hombres;2022;249
Total Nacional;02 Aragón;44 Teruel;32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción;Hombres;2021;216
Total Nacional;02 Aragón;44 Teruel;32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción;Mujeres;2022;30
Total Nacional;02 Aragón;44 Teruel;32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción;Mujeres;2021;25
Total Nacional;02 Aragón;44 Teruel;33 Técnicos sanitarios y profesionales de las terapias alternativas;Total;2022;362
Total Nacional;02 Aragón;44 Teruel;33 Técnicos sanitarios y profesionales de las terapias alternativas;Total;2021;275
Total Nacional;02 Aragón;44 Teruel;33 Técnicos sanitarios y profesionales de las terapias alternativas;Hombres;2022;107
Total Nacional;02 Aragón;44 Teruel;33 Técnicos sanitarios y profesionales de las terapias alternativas;Hombres;2021;79
Total Nacional;02 Aragón;44 Teruel;33 Técnicos sanitarios y profesionales de las terapias alternativas;Mujeres;2022;255
Total Nacional;02 Aragón;44 Teruel;33 Técnicos sanitarios y profesionales de las terapias alternativas;Mujeres;2021;196
Total Nacional;02 Aragón;44 Teruel;34 Profesionales de apoyo en finanzas y matemáticas;Total;2022;38
Total Nacional;02 Aragón;44 Teruel;34 Profesionales de apoyo en finanzas y matemáticas;Total;2021;39
Total Nacional;02 Aragón;44 Teruel;34 Profesionales de apoyo en finanzas y matemáticas;Hombres;2022;19
Total Nacional;02 Aragón;44 Teruel;34 Profesionales de apoyo en finanzas y matemáticas;Hombres;2021;20
Total Nacional;02 Aragón;44 Teruel;34 Profesionales de apoyo en finanzas y matemáticas;Mujeres;2022;19
Total Nacional;02 Aragón;44 Teruel;34 Profesionales de apoyo en finanzas y matemáticas;Mujeres;2021;19
Total Nacional;02 Aragón;44 Teruel;35 Representantes, agentes comerciales y afines;Total;2022;946
Total Nacional;02 Aragón;44 Teruel;35 Representantes, agentes comerciales y afines;Total;2021;858
Total Nacional;02 Aragón;44 Teruel;35 Representantes, agentes comerciales y afines;Hombres;2022;592
Total Nacional;02 Aragón;44 Teruel;35 Representantes, agentes comerciales y afines;Hombres;2021;539
Total Nacional;02 Aragón;44 Teruel;35 Representantes, agentes comerciales y afines;Mujeres;2022;354
Total Nacional;02 Aragón;44 Teruel;35 Representantes, agentes comerciales y afines;Mujeres;2021;319
Total Nacional;02 Aragón;44 Teruel;36 Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad;Total;2022;785
Total Nacional;02 Aragón;44 Teruel;36 Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad;Total;2021;754
Total Nacional;02 Aragón;44 Teruel;36 Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad;Hombres;2022;309
Total Nacional;02 Aragón;44 Teruel;36 Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad;Hombres;2021;289
Total Nacional;02 Aragón;44 Teruel;36 Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad;Mujeres;2022;476
Total Nacional;02 Aragón;44 Teruel;36 Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad;Mujeres;2021;465
Total Nacional;02 Aragón;44 Teruel;37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines;Total;2022;885
Total Nacional;02 Aragón;44 Teruel;37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines;Total;2021;827
Total Nacional;02 Aragón;44 Teruel;37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines;Hombres;2022;404
Total Nacional;02 Aragón;44 Teruel;37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines;Hombres;2021;359
Total Nacional;02 Aragón;44 Teruel;37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines;Mujeres;2022;481
Total Nacional;02 Aragón;44 Teruel;37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines;Mujeres;2021;468
Total Nacional;02 Aragón;44 Teruel;38 Técnicos de las tecnologías de la información y las comunicaciones (TIC);Total;2022;348
Total Nacional;02 Aragón;44 Teruel;38 Técnicos de las tecnologías de la información y las comunicaciones (TIC);Total;2021;327
Total Nacional;02 Aragón;44 Teruel;38 Técnicos de las tecnologías de la información y las comunicaciones (TIC);Hombres;2022;269
Total Nacional;02 Aragón;44 Teruel;38 Técnicos de las tecnologías de la información y las comunicaciones (TIC);Hombres;2021;247
Total Nacional;02 Aragón;44 Teruel;38 Técnicos de las tecnologías de la información y las comunicaciones (TIC);Mujeres;2022;79
Total Nacional;02 Aragón;44 Teruel;38 Técnicos de las tecnologías de la información y las comunicaciones (TIC);Mujeres;2021;80
Total Nacional;02 Aragón;44 Teruel;41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte;Total;2022;744
Total Nacional;02 Aragón;44 Teruel;41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte;Total;2021;761
Total Nacional;02 Aragón;44 Teruel;41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte;Hombres;2022;376
Total Nacional;02 Aragón;44 Teruel;41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte;Hombres;2021;370
Total Nacional;02 Aragón;44 Teruel;41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte;Mujeres;2022;368
Total Nacional;02 Aragón;44 Teruel;41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte;Mujeres;2021;391
Total Nacional;02 Aragón;44 Teruel;42 Empleados de bibliotecas, servicios de correos y afines;Total;2022;288
Total Nacional;02 Aragón;44 Teruel;42 Empleados de bibliotecas, servicios de correos y afines;Total;2021;304
Total Nacional;02 Aragón;44 Teruel;42 Empleados de bibliotecas, servicios de correos y afines;Hombres;2022;100
Total Nacional;02 Aragón;44 Teruel;42 Empleados de bibliotecas, servicios de correos y afines;Hombres;2021;105
Total Nacional;02 Aragón;44 Teruel;42 Empleados de bibliotecas, servicios de correos y afines;Mujeres;2022;188
Total Nacional;02 Aragón;44 Teruel;42 Empleados de bibliotecas, servicios de correos y afines;Mujeres;2021;199
Total Nacional;02 Aragón;44 Teruel;43 Otros empleados administrativos sin tareas de atención al público;Total;2022;1.404
Total Nacional;02 Aragón;44 Teruel;43 Otros empleados administrativos sin tareas de atención al público;Total;2021;1.361
Total Nacional;02 Aragón;44 Teruel;43 Otros empleados administrativos sin tareas de atención al público;Hombres;2022;362
Total Nacional;02 Aragón;44 Teruel;43 Otros empleados administrativos sin tareas de atención al público;Hombres;2021;343
Total Nacional;02 Aragón;44 Teruel;43 Otros empleados administrativos sin tareas de atención al público;Mujeres;2022;1.042
Total Nacional;02 Aragón;44 Teruel;43 Otros empleados administrativos sin tareas de atención al público;Mujeres;2021;1.018
Total Nacional;02 Aragón;44 Teruel;44 Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros);Total;2022;372
Total Nacional;02 Aragón;44 Teruel;44 Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros);Total;2021;378
Total Nacional;02 Aragón;44 Teruel;44 Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros);Hombres;2022;128
Total Nacional;02 Aragón;44 Teruel;44 Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros);Hombres;2021;123
Total Nacional;02 Aragón;44 Teruel;44 Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros);Mujeres;2022;244
Total Nacional;02 Aragón;44 Teruel;44 Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros);Mujeres;2021;255
Total Nacional;02 Aragón;44 Teruel;45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Total;2022;1.277
Total Nacional;02 Aragón;44 Teruel;45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Total;2021;1.070
Total Nacional;02 Aragón;44 Teruel;45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Hombres;2022;361
Total Nacional;02 Aragón;44 Teruel;45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Hombres;2021;282
Total Nacional;02 Aragón;44 Teruel;45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Mujeres;2022;916
Total Nacional;02 Aragón;44 Teruel;45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Mujeres;2021;788
Total Nacional;02 Aragón;44 Teruel;50 Camareros y cocineros propietarios;Total;2022;1.101
Total Nacional;02 Aragón;44 Teruel;50 Camareros y cocineros propietarios;Total;2021;1.086
Total Nacional;02 Aragón;44 Teruel;50 Camareros y cocineros propietarios;Hombres;2022;514
Total Nacional;02 Aragón;44 Teruel;50 Camareros y cocineros propietarios;Hombres;2021;505
Total Nacional;02 Aragón;44 Teruel;50 Camareros y cocineros propietarios;Mujeres;2022;587
Total Nacional;02 Aragón;44 Teruel;50 Camareros y cocineros propietarios;Mujeres;2021;581
Total Nacional;02 Aragón;44 Teruel;51 Trabajadores asalariados de los servicios de restauración;Total;2022;2.275
Total Nacional;02 Aragón;44 Teruel;51 Trabajadores asalariados de los servicios de restauración;Total;2021;2.242
Total Nacional;02 Aragón;44 Teruel;51 Trabajadores asalariados de los servicios de restauración;Hombres;2022;803
Total Nacional;02 Aragón;44 Teruel;51 Trabajadores asalariados de los servicios de restauración;Hombres;2021;774
Total Nacional;02 Aragón;44 Teruel;51 Trabajadores asalariados de los servicios de restauración;Mujeres;2022;1.472
Total Nacional;02 Aragón;44 Teruel;51 Trabajadores asalariados de los servicios de restauración;Mujeres;2021;1.468
Total Nacional;02 Aragón;44 Teruel;52 Dependientes en tiendas y almacenes;Total;2022;1.917
Total Nacional;02 Aragón;44 Teruel;52 Dependientes en tiendas y almacenes;Total;2021;1.970
Total Nacional;02 Aragón;44 Teruel;52 Dependientes en tiendas y almacenes;Hombres;2022;426
Total Nacional;02 Aragón;44 Teruel;52 Dependientes en tiendas y almacenes;Hombres;2021;447
Total Nacional;02 Aragón;44 Teruel;52 Dependientes en tiendas y almacenes;Mujeres;2022;1.491
Total Nacional;02 Aragón;44 Teruel;52 Dependientes en tiendas y almacenes;Mujeres;2021;1.523
Total Nacional;02 Aragón;44 Teruel;53 Comerciantes propietarios de tiendas;Total;2022;1.031
Total Nacional;02 Aragón;44 Teruel;53 Comerciantes propietarios de tiendas;Total;2021;1.028
Total Nacional;02 Aragón;44 Teruel;53 Comerciantes propietarios de tiendas;Hombres;2022;406
Total Nacional;02 Aragón;44 Teruel;53 Comerciantes propietarios de tiendas;Hombres;2021;406
Total Nacional;02 Aragón;44 Teruel;53 Comerciantes propietarios de tiendas;Mujeres;2022;625
Total Nacional;02 Aragón;44 Teruel;53 Comerciantes propietarios de tiendas;Mujeres;2021;622
Total Nacional;02 Aragón;44 Teruel;54 Vendedores (excepto en tiendas y almacenes);Total;2022;374
Total Nacional;02 Aragón;44 Teruel;54 Vendedores (excepto en tiendas y almacenes);Total;2021;394
Total Nacional;02 Aragón;44 Teruel;54 Vendedores (excepto en tiendas y almacenes);Hombres;2022;197
Total Nacional;02 Aragón;44 Teruel;54 Vendedores (excepto en tiendas y almacenes);Hombres;2021;198
Total Nacional;02 Aragón;44 Teruel;54 Vendedores (excepto en tiendas y almacenes);Mujeres;2022;177
Total Nacional;02 Aragón;44 Teruel;54 Vendedores (excepto en tiendas y almacenes);Mujeres;2021;196
Total Nacional;02 Aragón;44 Teruel;55 Cajeros y taquilleros (excepto bancos);Total;2022;202
Total Nacional;02 Aragón;44 Teruel;55 Cajeros y taquilleros (excepto bancos);Total;2021;216
Total Nacional;02 Aragón;44 Teruel;55 Cajeros y taquilleros (excepto bancos);Hombres;2022;22
Total Nacional;02 Aragón;44 Teruel;55 Cajeros y taquilleros (excepto bancos);Hombres;2021;24
Total Nacional;02 Aragón;44 Teruel;55 Cajeros y taquilleros (excepto bancos);Mujeres;2022;180
Total Nacional;02 Aragón;44 Teruel;55 Cajeros y taquilleros (excepto bancos);Mujeres;2021;192
Total Nacional;02 Aragón;44 Teruel;56 Trabajadores de los cuidados a las personas en servicios de salud;Total;2022;2.019
Total Nacional;02 Aragón;44 Teruel;56 Trabajadores de los cuidados a las personas en servicios de salud;Total;2021;1.670
Total Nacional;02 Aragón;44 Teruel;56 Trabajadores de los cuidados a las personas en servicios de salud;Hombres;2022;244
Total Nacional;02 Aragón;44 Teruel;56 Trabajadores de los cuidados a las personas en servicios de salud;Hombres;2021;164
Total Nacional;02 Aragón;44 Teruel;56 Trabajadores de los cuidados a las personas en servicios de salud;Mujeres;2022;1.775
Total Nacional;02 Aragón;44 Teruel;56 Trabajadores de los cuidados a las personas en servicios de salud;Mujeres;2021;1.506
Total Nacional;02 Aragón;44 Teruel;57 Otros trabajadores de los cuidados a las personas;Total;2022;421
Total Nacional;02 Aragón;44 Teruel;57 Otros trabajadores de los cuidados a las personas;Total;2021;426
Total Nacional;02 Aragón;44 Teruel;57 Otros trabajadores de los cuidados a las personas;Hombres;2022;23
Total Nacional;02 Aragón;44 Teruel;57 Otros trabajadores de los cuidados a las personas;Hombres;2021;33
Total Nacional;02 Aragón;44 Teruel;57 Otros trabajadores de los cuidados a las personas;Mujeres;2022;398
Total Nacional;02 Aragón;44 Teruel;57 Otros trabajadores de los cuidados a las personas;Mujeres;2021;393
Total Nacional;02 Aragón;44 Teruel;58 Trabajadores de los servicios personales;Total;2022;1.080
Total Nacional;02 Aragón;44 Teruel;58 Trabajadores de los servicios personales;Total;2021;1.154
Total Nacional;02 Aragón;44 Teruel;58 Trabajadores de los servicios personales;Hombres;2022;297
Total Nacional;02 Aragón;44 Teruel;58 Trabajadores de los servicios personales;Hombres;2021;309
Total Nacional;02 Aragón;44 Teruel;58 Trabajadores de los servicios personales;Mujeres;2022;783
Total Nacional;02 Aragón;44 Teruel;58 Trabajadores de los servicios personales;Mujeres;2021;845
Total Nacional;02 Aragón;44 Teruel;59 Trabajadores de los servicios de protección y seguridad;Total;2022;1.179
Total Nacional;02 Aragón;44 Teruel;59 Trabajadores de los servicios de protección y seguridad;Total;2021;1.200
Total Nacional;02 Aragón;44 Teruel;59 Trabajadores de los servicios de protección y seguridad;Hombres;2022;1.030
Total Nacional;02 Aragón;44 Teruel;59 Trabajadores de los servicios de protección y seguridad;Hombres;2021;1.050
Total Nacional;02 Aragón;44 Teruel;59 Trabajadores de los servicios de protección y seguridad;Mujeres;2022;149
Total Nacional;02 Aragón;44 Teruel;59 Trabajadores de los servicios de protección y seguridad;Mujeres;2021;150
Total Nacional;02 Aragón;44 Teruel;61 Trabajadores cualificados en actividades agrícolas;Total;2022;1.312
Total Nacional;02 Aragón;44 Teruel;61 Trabajadores cualificados en actividades agrícolas;Total;2021;1.268
Total Nacional;02 Aragón;44 Teruel;61 Trabajadores cualificados en actividades agrícolas;Hombres;2022;824
Total Nacional;02 Aragón;44 Teruel;61 Trabajadores cualificados en actividades agrícolas;Hombres;2021;801
Total Nacional;02 Aragón;44 Teruel;61 Trabajadores cualificados en actividades agrícolas;Mujeres;2022;488
Total Nacional;02 Aragón;44 Teruel;61 Trabajadores cualificados en actividades agrícolas;Mujeres;2021;467
Total Nacional;02 Aragón;44 Teruel;62 Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares);Total;2022;1.348
Total Nacional;02 Aragón;44 Teruel;62 Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares);Total;2021;1.340
Total Nacional;02 Aragón;44 Teruel;62 Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares);Hombres;2022;1.034
Total Nacional;02 Aragón;44 Teruel;62 Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares);Hombres;2021;1.014
Total Nacional;02 Aragón;44 Teruel;62 Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares);Mujeres;2022;314
Total Nacional;02 Aragón;44 Teruel;62 Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares);Mujeres;2021;326
Total Nacional;02 Aragón;44 Teruel;63 Trabajadores cualificados en actividades agropecuarias mixtas;Total;2022;608
Total Nacional;02 Aragón;44 Teruel;63 Trabajadores cualificados en actividades agropecuarias mixtas;Total;2021;606
Total Nacional;02 Aragón;44 Teruel;63 Trabajadores cualificados en actividades agropecuarias mixtas;Hombres;2022;465
Total Nacional;02 Aragón;44 Teruel;63 Trabajadores cualificados en actividades agropecuarias mixtas;Hombres;2021;460
Total Nacional;02 Aragón;44 Teruel;63 Trabajadores cualificados en actividades agropecuarias mixtas;Mujeres;2022;143
Total Nacional;02 Aragón;44 Teruel;63 Trabajadores cualificados en actividades agropecuarias mixtas;Mujeres;2021;146
Total Nacional;02 Aragón;44 Teruel;64 Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas;Total;2022;107
Total Nacional;02 Aragón;44 Teruel;64 Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas;Total;2021;111
Total Nacional;02 Aragón;44 Teruel;64 Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas;Hombres;2022;97
Total Nacional;02 Aragón;44 Teruel;64 Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas;Hombres;2021;101
Total Nacional;02 Aragón;44 Teruel;64 Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas;Mujeres;2022;10
Total Nacional;02 Aragón;44 Teruel;64 Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas;Mujeres;2021;10
Total Nacional;02 Aragón;44 Teruel;71 Trabajadores en obras estructurales de construcción y afines;Total;2022;2.513
Total Nacional;02 Aragón;44 Teruel;71 Trabajadores en obras estructurales de construcción y afines;Total;2021;2.519
Total Nacional;02 Aragón;44 Teruel;71 Trabajadores en obras estructurales de construcción y afines;Hombres;2022;2.364
Total Nacional;02 Aragón;44 Teruel;71 Trabajadores en obras estructurales de construcción y afines;Hombres;2021;2.363
Total Nacional;02 Aragón;44 Teruel;71 Trabajadores en obras estructurales de construcción y afines;Mujeres;2022;149
Total Nacional;02 Aragón;44 Teruel;71 Trabajadores en obras estructurales de construcción y afines;Mujeres;2021;156
Total Nacional;02 Aragón;44 Teruel;72 Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines;Total;2022;672
Total Nacional;02 Aragón;44 Teruel;72 Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines;Total;2021;657
Total Nacional;02 Aragón;44 Teruel;72 Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines;Hombres;2022;639
Total Nacional;02 Aragón;44 Teruel;72 Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines;Hombres;2021;614
Total Nacional;02 Aragón;44 Teruel;72 Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines;Mujeres;2022;33
Total Nacional;02 Aragón;44 Teruel;72 Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines;Mujeres;2021;43
Total Nacional;02 Aragón;44 Teruel;73 Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines;Total;2022;751
Total Nacional;02 Aragón;44 Teruel;73 Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines;Total;2021;723
Total Nacional;02 Aragón;44 Teruel;73 Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines;Hombres;2022;703
Total Nacional;02 Aragón;44 Teruel;73 Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines;Hombres;2021;673
Total Nacional;02 Aragón;44 Teruel;73 Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines;Mujeres;2022;48
Total Nacional;02 Aragón;44 Teruel;73 Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines;Mujeres;2021;50
Total Nacional;02 Aragón;44 Teruel;74 Mecánicos y ajustadores de maquinaria;Total;2022;1.254
Total Nacional;02 Aragón;44 Teruel;74 Mecánicos y ajustadores de maquinaria;Total;2021;1.218
Total Nacional;02 Aragón;44 Teruel;74 Mecánicos y ajustadores de maquinaria;Hombres;2022;1.181
Total Nacional;02 Aragón;44 Teruel;74 Mecánicos y ajustadores de maquinaria;Hombres;2021;1.132
Total Nacional;02 Aragón;44 Teruel;74 Mecánicos y ajustadores de maquinaria;Mujeres;2022;73
Total Nacional;02 Aragón;44 Teruel;74 Mecánicos y ajustadores de maquinaria;Mujeres;2021;86
Total Nacional;02 Aragón;44 Teruel;75 Trabajadores especializados en electricidad y electrotecnología;Total;2022;777
Total Nacional;02 Aragón;44 Teruel;75 Trabajadores especializados en electricidad y electrotecnología;Total;2021;838
Total Nacional;02 Aragón;44 Teruel;75 Trabajadores especializados en electricidad y electrotecnología;Hombres;2022;729
Total Nacional;02 Aragón;44 Teruel;75 Trabajadores especializados en electricidad y electrotecnología;Hombres;2021;776
Total Nacional;02 Aragón;44 Teruel;75 Trabajadores especializados en electricidad y electrotecnología;Mujeres;2022;48
Total Nacional;02 Aragón;44 Teruel;75 Trabajadores especializados en electricidad y electrotecnología;Mujeres;2021;62
Total Nacional;02 Aragón;44 Teruel;76 Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes gráficas;Total;2022;118
Total Nacional;02 Aragón;44 Teruel;76 Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes gráficas;Total;2021;131
Total Nacional;02 Aragón;44 Teruel;76 Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes gráficas;Hombres;2022;83
